location,area,bhk,bath,property_type,zone,construction_cost_psqft,architect_fee_lakhs,engineer_fee_lakhs,approval_fee_lakhs,utility_cost_lakhs,gst_lakhs,is_resale,price
Lasuriya Mori,867,1,2,independent,classic,2208,1.26,0.45,2.11,0.94,0.96,1,37.6
Dewas Naka,1272,2,2,flat,classic,1703,0.48,0.21,0.27,0.21,1.08,1,35.21
Khandwa Road,2676,3,3,independent,classic,2407,4.32,1.29,2.07,0.89,3.22,0,177.82
Sapna Sangeeta Road,1050,3,3,flat,elite,2706,0.41,0.15,0.43,0.39,1.42,0,53.53
Mahalaxmi Nagar,3228,3,2,independent,premium,2517,2.86,1.87,3.36,1.05,4.06,0,259.51
Sapna Sangeeta Road,3013,4,3,independent,elite,2991,3.28,1.45,2.3,1.66,4.51,0,269.17
Gandhi Nagar,1483,2,2,independent,affordable,1832,1.69,0.43,0.77,0.62,0.27,0,84.64
Sudama Nagar,711,2,3,flat,classic,2300,0.4,0.21,0.77,0.23,0.82,0,29.88
Sudama Nagar,1731,4,3,independent,classic,2300,1.4,0.81,2.19,0.98,1.99,0,88.37
Talawali Chanda,1232,2,2,flat,classic,2083,0.38,0.24,0.74,0.21,1.28,0,41.17
Bicholi Hapsi,1050,3,2,flat,classic,1737,0.31,0.19,0.77,0.42,0.91,0,37.38
Ring Road,1982,2,3,independent,classic,2619,1.66,1.39,1.75,0.99,2.6,0,128.01
Agrawal Nagar,894,2,2,flat,classic,1794,0.32,0.19,0.57,0.48,0.8,0,33.95
Aerodrome Road,1084,1,1,independent,classic,2572,1.72,0.71,1.06,0.91,1.39,1,63.54
Banganga,1778,2,2,independent,affordable,1983,2.06,0.85,1.17,0.52,0.35,1,62.82
Saket Nagar,877,1,1,flat,affordable,1684,0.31,0.13,0.25,0.21,0.15,0,30.63
Khandwa Road,2889,2,3,independent,classic,2308,3.36,1.9,1.69,0.98,3.33,0,173.8
Vijay Nagar,3641,3,2,independent,premium,2682,3.65,1.52,1.35,1.42,4.88,1,285.78
Sneh Nagar,1050,3,3,flat,classic,1692,0.21,0.1,0.53,0.39,0.89,0,48.1
Sukhliya,1050,3,2,flat,classic,1568,0.42,0.1,0.36,0.35,0.82,0,47.23
Scheme 140,1290,3,3,independent,elite,3552,1.9,0.88,2.7,1.66,2.29,0,98.64
Agrawal Nagar,1077,3,2,flat,classic,1699,0.27,0.1,0.36,0.31,0.92,0,37.81
Rau,1395,3,2,flat,classic,2237,0.34,0.21,0.33,0.28,1.56,1,53.95
Sneh Nagar,1827,3,3,flat,classic,1728,0.32,0.41,0.53,0.41,1.58,0,79.05
Scheme 140,2074,2,2,independent,elite,2957,3.23,1.33,3.95,1.72,3.07,0,195.02
Saket Nagar,792,1,1,flat,affordable,1590,0.13,0.15,0.28,0.23,0.13,0,27.96
Chandan Nagar,1279,3,2,flat,affordable,1397,0.2,0.09,0.57,0.21,0.18,0,44.8
Scheme 94,2156,4,4,flat,premium,2211,1.02,0.68,0.75,0.4,2.38,0,104.02
Aerodrome Road,1929,3,2,independent,classic,2505,3.38,0.83,1.64,1.07,2.42,1,89.98
Manglia,1821,3,3,independent,affordable,2244,1.78,0.71,1.22,0.53,0.41,1,75.48
Aerodrome Road,1887,3,3,flat,classic,1622,0.83,0.28,0.65,0.29,1.53,0,81.22
Sanwer Road,1404,2,2,flat,affordable,1346,0.2,0.12,0.31,0.37,0.19,0,38.07
MG Road,1031,1,1,flat,premium,2231,0.35,0.29,0.83,0.46,1.15,1,40.99
Ring Road,2521,2,2,independent,classic,2095,3.56,0.87,2.09,0.98,2.64,1,113.75
Mahalaxmi Nagar,1913,4,3,independent,premium,2473,3.18,0.99,3.04,1.02,2.37,0,147.73
Janki Nagar,2250,3,2,flat,premium,2387,1.54,0.55,0.31,0.37,2.69,0,100.07
Old Palasia,3766,4,4,independent,elite,2947,6.59,2.06,2.8,1.06,5.55,0,365.93
Chandan Nagar,850,2,2,independent,affordable,1783,0.94,0.27,1.53,0.65,0.15,1,37.77
Annapurna Road,2288,3,2,independent,classic,2476,2.71,1.42,2.25,0.77,2.83,1,135.6
Banganga,1050,3,3,independent,affordable,2222,1.55,0.38,1.05,0.55,0.23,0,48.66
Lasuriya Mori,2717,2,2,independent,classic,2672,2.69,1.37,1.15,0.76,3.63,0,130.27
Sudama Nagar,999,2,2,flat,classic,2012,0.38,0.18,0.58,0.35,1.0,0,35.36
Rau,930,1,1,independent,classic,2602,1.15,0.47,1.23,0.92,1.21,0,49.13
Janki Nagar,1750,5,4,independent,premium,2971,2.49,1.29,1.41,1.19,2.6,1,112.36
Mahalaxmi Nagar,1050,3,2,flat,premium,2164,0.49,0.19,0.41,0.43,1.14,0,52.26
Pipliyahana,1430,1,1,flat,classic,1821,0.48,0.17,0.28,0.39,1.3,1,52.95
Sanwer Road,908,2,2,independent,affordable,1842,0.81,0.34,1.15,0.56,0.17,1,29.51
MR 11,1628,1,1,flat,classic,1549,0.66,0.18,0.55,0.35,1.26,0,54.99
Scheme 71,1111,3,2,flat,classic,2165,0.72,0.27,0.68,0.36,1.2,1,43.78
Khajrana,1027,2,2,flat,affordable,1479,0.3,0.17,0.59,0.17,0.15,1,30.11
Talawali Chanda,2165,1,1,independent,classic,2648,3.57,1.08,1.81,0.92,2.87,0,109.88
Musakhedi,1029,2,3,independent,affordable,1804,0.82,0.46,1.67,0.68,0.19,0,44.59
Khandwa Road,1795,2,3,flat,classic,1616,0.35,0.32,0.31,0.45,1.45,0,56.41
Old Palasia,1050,3,3,flat,elite,2409,0.72,0.16,1.05,0.49,1.26,0,75.85
Pipliyahana,2266,3,3,independent,classic,2103,1.64,1.25,2.05,1.09,2.38,0,167.54
Scheme 78,1981,1,2,independent,affordable,2287,3.15,1.23,1.5,0.69,0.45,0,86.69
AB Road,2341,3,2,independent,premium,3102,2.33,1.15,1.97,1.52,3.63,0,146.17
Scheme 140,2704,4,3,flat,elite,2545,0.73,1.01,0.93,0.77,3.44,1,132.63
Navlakha,1766,3,2,independent,premium,2592,1.87,1.27,2.56,1.16,2.29,1,101.9
Banganga,854,2,2,independent,affordable,1781,0.76,0.29,1.73,0.66,0.15,1,34.02
South Tukoganj,2512,4,3,independent,elite,3413,4.64,1.88,4.04,1.83,4.29,0,261.05
Saket Nagar,743,2,2,independent,affordable,1685,0.83,0.19,0.85,0.78,0.13,0,32.65
MR 10,1897,4,3,independent,premium,2815,2.47,1.06,3.02,1.41,2.67,0,139.84
Pipliyahana,2740,3,2,independent,classic,1921,1.78,1.02,1.99,0.66,2.63,0,152.5
Sanwer Road,1206,2,3,flat,affordable,1337,0.25,0.13,0.5,0.19,0.16,0,30.26
Sapna Sangeeta Road,2230,4,3,independent,elite,3863,3.35,2.22,4.18,1.73,4.31,0,212.44
MG Road,1422,3,2,flat,premium,1931,0.65,0.32,0.99,0.59,1.37,0,86.09
Musakhedi,821,2,2,flat,affordable,1250,0.17,0.09,0.29,0.16,0.1,1,16.68
Palasia Square,1153,2,2,flat,classic,1647,0.39,0.19,0.37,0.4,0.95,1,35.64
Sapna Sangeeta Road,1483,2,2,independent,elite,3869,2.28,1.17,2.08,1.22,2.87,0,120.3
Bicholi Mardana,2248,5,5,independent,premium,2423,2.57,1.53,1.96,0.88,2.72,0,188.45
Kanadia Road,1524,2,2,independent,classic,2723,2.23,1.24,2.18,0.76,2.07,1,69.22
Rau Pithampur Road,1260,2,2,flat,affordable,1318,0.21,0.19,0.29,0.27,0.17,1,35.89
MR 10,2373,2,2,flat,premium,2376,1.53,0.43,0.31,0.33,2.82,1,79.31
Janki Nagar,1647,3,2,flat,premium,1952,0.92,0.17,0.62,0.36,1.61,0,71.61
Musakhedi,1050,3,2,independent,affordable,1796,1.07,0.52,0.87,0.57,0.19,0,46.9
Scheme 103,1101,3,2,flat,classic,1858,0.4,0.3,0.64,0.28,1.02,0,42.87
MR 11,2541,3,2,independent,classic,2779,4.07,1.97,1.49,1.03,3.53,0,160.77
Scheme 94,2528,4,3,independent,premium,3358,2.58,2.53,2.8,1.31,4.24,1,208.6
Nipania,1569,3,2,flat,elite,2338,0.62,0.22,1.14,0.74,1.83,1,102.77
AB Road,1827,3,2,flat,premium,2232,0.78,0.34,0.63,0.46,2.04,0,86.16
Rajendra Nagar,1931,3,2,flat,premium,1801,0.95,0.18,0.8,0.27,1.74,1,82.09
Vijay Nagar,1400,4,3,independent,premium,2480,2.02,0.86,3.22,1.0,1.74,0,142.52
Scheme 78,744,2,2,flat,affordable,1225,0.27,0.13,0.33,0.22,0.09,1,16.27
South Tukoganj,1050,3,2,flat,elite,2955,0.67,0.41,0.46,0.54,1.55,0,79.66
Tilak Nagar,1704,3,2,flat,classic,1987,0.54,0.39,0.59,0.38,1.69,1,64.71
Musakhedi,1447,2,2,flat,affordable,1250,0.19,0.13,0.32,0.17,0.18,0,44.53
New Palasia,3136,3,2,flat,elite,2242,1.74,1.0,0.62,0.73,3.52,1,176.12
Scheme 71,1317,2,2,flat,classic,1715,0.42,0.21,0.68,0.31,1.13,1,36.83
Vijay Nagar,1525,2,2,flat,premium,2009,0.9,0.38,0.79,0.55,1.53,1,63.3
Tilak Nagar,1481,2,3,independent,classic,2256,2.31,0.99,1.33,0.64,1.67,1,63.7
Scheme 103,2907,1,1,independent,classic,2784,3.77,1.63,1.09,1.16,4.05,1,160.96
Palasia Square,2353,1,1,independent,classic,2604,2.38,0.93,2.3,0.91,3.06,0,135.51
Ring Road,2929,3,2,independent,classic,2634,5.13,1.61,1.77,0.88,3.86,0,193.07
Rau Pithampur Road,1306,2,2,flat,affordable,1786,0.57,0.27,0.29,0.36,0.23,0,41.76
Scheme 54,1360,2,2,independent,classic,2422,1.84,0.65,2.07,1.19,1.65,0,75.29
Pipliyahana,1050,3,2,flat,classic,2046,0.54,0.15,0.27,0.22,1.07,0,35.63
MR 11,2132,2,3,independent,classic,2533,2.54,0.82,1.04,0.88,2.7,1,100.67
Tilak Nagar,820,2,2,flat,classic,1609,0.22,0.19,0.53,0.49,0.66,1,26.6
MG Road,2239,3,2,flat,premium,2322,0.94,0.57,0.38,0.26,2.6,0,110.27
Saket Nagar,859,2,2,flat,affordable,1829,0.37,0.1,0.25,0.38,0.16,0,30.28
Khajrana,1515,2,2,flat,affordable,1460,0.53,0.29,0.54,0.28,0.22,0,43.42
Kanadia Road,1071,2,3,independent,classic,2340,1.37,0.4,2.42,0.94,1.25,0,56.66
Mahalaxmi Nagar,1783,4,3,independent,premium,3292,2.77,1.05,2.26,1.13,2.94,0,127.92
Limbodi,1806,2,2,independent,affordable,2262,2.6,0.81,1.24,0.72,0.41,1,74.46
Sapna Sangeeta Road,3120,2,2,independent,elite,3651,3.45,2.08,3.59,1.48,5.69,1,281.92
Sanwer Road,1853,3,2,independent,affordable,2257,1.67,1.11,1.16,0.57,0.42,1,73.07
Chandan Nagar,700,2,2,flat,affordable,1264,0.15,0.07,0.38,0.22,0.09,0,20.91
Bhawarkuan,1579,2,2,flat,classic,1914,0.7,0.31,0.38,0.26,1.51,0,60.78
South Tukoganj,2951,4,3,independent,elite,3182,3.21,1.59,3.35,1.06,4.7,1,221.02
Geeta Bhawan,1050,3,2,independent,classic,2271,1.53,0.64,1.66,1.03,1.19,0,61.66
Super Corridor,2497,4,3,independent,elite,3595,4.64,2.51,3.78,1.52,4.49,0,221.65
Old Palasia,1593,3,2,flat,elite,2301,0.72,0.28,0.63,0.45,1.83,0,94.67
Sanwer Road,1116,2,3,independent,affordable,2284,1.64,0.64,1.8,0.85,0.25,1,37.13
Geeta Bhawan,1400,4,4,flat,classic,1537,0.5,0.27,0.37,0.28,1.08,1,54.05
Manglia,1178,2,3,flat,affordable,1230,0.26,0.15,0.41,0.18,0.14,1,24.58
Nihalpur Mundi,1360,1,1,flat,classic,1853,0.66,0.21,0.34,0.31,1.26,1,39.38
Sneh Nagar,1372,2,2,flat,classic,2174,0.86,0.31,0.25,0.2,1.49,0,58.99
Kanadia Road,1703,3,2,independent,classic,1963,2.31,0.56,1.39,1.13,1.67,0,85.69
Chandan Nagar,1217,2,2,independent,affordable,1721,1.11,0.51,1.33,0.44,0.21,0,54.16
Limbodi,1732,3,2,independent,affordable,1904,1.72,0.5,1.14,0.42,0.33,0,63.53
Gandhi Nagar,1389,2,2,flat,affordable,1625,0.5,0.34,0.24,0.22,0.23,0,49.0
Saket Nagar,1611,3,2,independent,affordable,1803,1.35,0.75,1.67,0.65,0.29,0,86.09
Khandwa Road,1395,2,2,flat,classic,1518,0.46,0.27,0.68,0.21,1.06,0,58.4
Manglia,992,1,1,flat,affordable,1581,0.21,0.12,0.51,0.25,0.16,1,21.21
Agrawal Nagar,807,1,1,flat,classic,1825,0.26,0.17,0.45,0.21,0.74,0,28.39
Scheme 71,1186,3,2,flat,classic,2148,0.33,0.33,0.8,0.46,1.27,0,50.07
Scheme 136,1717,2,3,flat,premium,1965,0.99,0.18,0.85,0.36,1.69,1,65.83
Scheme 103,1266,3,2,flat,classic,1979,0.49,0.21,0.46,0.31,1.25,0,43.29
Mahalaxmi Nagar,1050,3,3,flat,premium,2093,0.27,0.25,0.38,0.6,1.1,0,46.37
Saket Nagar,1117,3,2,flat,affordable,1456,0.17,0.09,0.28,0.35,0.16,0,42.76
Piplya Kumar,1595,3,2,flat,classic,1598,0.27,0.21,0.4,0.32,1.27,0,62.89
MR 11,1492,2,3,independent,classic,2606,1.78,0.61,2.36,1.04,1.94,1,77.95
New Palasia,2504,4,4,flat,elite,2717,1.27,0.56,0.75,0.69,3.4,0,164.6
MR 10,1899,3,2,independent,premium,2597,2.72,1.25,1.58,1.43,2.47,1,122.24
Bicholi Hapsi,1803,4,3,independent,classic,2745,3.36,1.15,1.52,1.06,2.47,1,97.18
Gandhi Nagar,1054,2,2,flat,affordable,1618,0.48,0.12,0.39,0.31,0.17,0,34.83
Talawali Chanda,1142,2,2,flat,classic,2230,0.26,0.22,0.65,0.33,1.27,1,30.78
Limbodi,1569,3,2,independent,affordable,1958,1.73,0.47,1.33,0.64,0.31,0,80.47
Scheme 71,1671,3,3,flat,classic,1873,0.66,0.43,0.57,0.27,1.57,1,54.84
Bicholi Hapsi,731,1,1,flat,classic,2158,0.16,0.14,0.59,0.21,0.79,1,19.44
Piplya Kumar,1363,1,1,flat,classic,1816,0.37,0.16,0.63,0.23,1.24,0,52.0
Silicon City,1227,2,3,independent,affordable,1689,1.29,0.61,0.96,0.56,0.21,0,55.84
Chandan Nagar,2314,3,2,independent,affordable,1821,2.81,1.25,1.69,0.9,0.42,0,108.2
Agrawal Nagar,1400,4,4,flat,classic,1882,0.44,0.36,0.29,0.45,1.32,1,38.34
Gandhi Nagar,1041,2,2,independent,affordable,1788,0.77,0.4,1.21,0.47,0.19,0,42.65
Bhawarkuan,1631,4,3,independent,classic,2747,2.23,1.22,1.61,1.19,2.24,0,98.82
Khandwa Road,1307,2,2,independent,classic,2587,1.55,0.9,2.46,0.76,1.69,0,79.67
Sapna Sangeeta Road,1415,2,2,flat,elite,2532,0.86,0.46,0.92,0.38,1.79,0,93.18
Super Corridor,2264,2,3,flat,elite,2811,0.66,0.87,1.15,0.58,3.18,0,135.65
AB Bypass Road,1984,4,4,independent,premium,3182,4.34,1.25,1.38,1.09,3.16,1,110.84
South Tukoganj,1919,3,2,flat,elite,3030,1.72,0.53,0.47,0.33,2.91,0,103.3
MG Road,2129,5,4,independent,premium,2605,3.31,0.88,3.18,0.96,2.77,0,196.46
Rangwasa,1425,2,2,independent,affordable,1527,1.1,0.56,0.83,0.74,0.22,1,58.4
Palasia Square,2998,2,2,independent,classic,2845,5.07,2.1,2.12,0.65,4.26,1,137.15
Jetpura,2150,1,1,independent,affordable,1812,1.82,0.81,1.32,0.44,0.39,0,95.21
Khajrana,700,2,2,flat,affordable,1564,0.25,0.07,0.31,0.18,0.11,1,22.24
Nihalpur Mundi,1779,1,2,independent,classic,1968,1.11,0.75,1.15,1.05,1.75,0,82.28
Scheme 71,1050,3,2,flat,classic,2150,0.38,0.23,0.58,0.35,1.13,0,35.92
Lasuriya Mori,1575,3,2,flat,classic,2038,0.35,0.23,0.5,0.3,1.6,0,58.65
Silicon City,1564,2,3,flat,affordable,1268,0.48,0.16,0.6,0.39,0.2,0,48.29
Janki Nagar,1197,2,2,flat,premium,2338,0.8,0.37,0.51,0.4,1.4,1,41.9
MG Road,2286,3,2,flat,premium,1909,0.66,0.39,0.96,0.46,2.18,0,118.33
Scheme 140,2526,3,2,independent,elite,3500,2.69,2.37,2.63,1.04,4.42,0,182.4
Rau,2124,2,2,independent,classic,2013,2.45,0.92,2.19,1.12,2.14,0,106.75
Aerodrome Road,1501,2,2,flat,classic,1854,0.4,0.22,0.78,0.29,1.39,1,51.15
Khandwa Road,1953,3,2,flat,classic,1739,0.35,0.41,0.59,0.39,1.7,0,60.56
Gandhi Nagar,1050,3,3,flat,affordable,1433,0.39,0.14,0.2,0.39,0.15,1,33.11
Scheme 140,1164,2,2,flat,elite,2815,0.92,0.33,0.8,0.33,1.64,1,58.83
Sukhliya,700,2,3,flat,classic,2237,0.24,0.21,0.4,0.3,0.78,1,26.42
Pipliyahana,1249,2,2,flat,classic,2055,0.35,0.15,0.67,0.47,1.28,0,43.54
AB Bypass Road,1563,4,4,flat,premium,2363,0.56,0.46,0.69,0.36,1.85,0,72.2
Mahalaxmi Nagar,1760,2,3,flat,premium,2545,0.54,0.34,0.66,0.45,2.24,1,70.32
Vijay Nagar,2420,5,4,independent,premium,2489,3.44,0.96,2.61,1.39,3.01,1,195.06
Scheme 78,1336,3,2,independent,affordable,2072,1.82,0.8,1.44,0.66,0.28,0,74.35
Agrawal Nagar,891,2,2,flat,classic,2142,0.37,0.25,0.7,0.3,0.95,1,28.93
AB Bypass Road,2604,4,3,independent,premium,3261,2.59,2.15,1.34,1.37,4.25,0,213.17
Scheme 103,1530,2,2,flat,classic,1953,0.6,0.3,0.63,0.49,1.49,0,62.84
Sanwer Road,1604,1,2,independent,affordable,1804,1.13,0.8,0.77,0.6,0.29,0,56.29
Lasuriya Mori,2382,1,1,independent,classic,2380,1.89,0.87,2.38,1.09,2.83,0,117.38
Saket Nagar,829,2,2,flat,affordable,1822,0.19,0.17,0.48,0.31,0.15,0,26.27
Rajendra Nagar,957,2,2,flat,premium,2518,0.46,0.23,0.85,0.28,1.2,0,47.77
Sukhliya,2058,3,2,independent,classic,2808,3.82,1.67,1.74,1.12,2.89,0,115.6
Khandwa Road,1400,4,4,flat,classic,1892,0.32,0.37,0.62,0.36,1.32,0,52.99
Sanwer Road,1258,3,2,flat,affordable,1876,0.61,0.14,0.27,0.33,0.24,1,33.79
Nihalpur Mundi,1387,2,2,independent,classic,2555,1.22,0.84,1.48,0.83,1.77,0,90.18
Rau,1535,1,1,independent,classic,2658,2.08,0.99,2.14,1.1,2.04,0,92.32
Bhawrasla,1050,3,3,independent,classic,2510,1.55,0.41,1.86,1.13,1.32,1,60.85
Palasia Square,1702,3,3,independent,classic,2602,2.29,1.06,1.79,1.18,2.21,0,127.82
Manglia,2335,3,2,independent,affordable,2233,2.28,1.48,1.68,0.47,0.52,0,100.29
Super Corridor,1024,2,2,flat,elite,2286,0.33,0.12,0.55,0.59,1.17,0,49.02
Manglia,934,1,1,flat,affordable,1570,0.22,0.22,0.22,0.24,0.15,1,22.7
Nipania,1984,3,3,flat,elite,2480,1.36,0.61,1.16,0.47,2.46,0,121.26
Chandan Nagar,2326,1,1,independent,affordable,2186,3.11,1.32,0.74,0.47,0.51,0,96.64
Piplya Kumar,1583,3,3,flat,classic,2227,0.64,0.31,0.64,0.2,1.76,0,58.48
Scheme 94,1773,5,4,independent,premium,3180,3.46,1.28,3.19,1.11,2.82,0,149.14
Pipliyahana,1161,2,2,flat,classic,1711,0.5,0.2,0.29,0.31,0.99,0,44.38
MR 11,1050,3,2,independent,classic,2094,1.32,0.49,1.24,0.75,1.1,0,56.3
AB Bypass Road,3484,3,2,independent,premium,2824,4.16,2.81,3.21,0.99,4.92,1,195.29
Sukhliya,1358,2,2,flat,classic,2227,0.52,0.36,0.28,0.44,1.51,0,53.86
AB Road,1910,4,3,independent,premium,2477,2.95,1.4,2.72,1.02,2.37,0,132.12
Ring Road,1328,2,3,flat,classic,2212,0.52,0.16,0.65,0.48,1.47,1,45.64
Jetpura,2184,2,3,independent,affordable,2387,1.6,1.51,0.94,0.73,0.52,0,92.56
Gandhi Nagar,1375,3,2,flat,affordable,1821,0.3,0.28,0.42,0.34,0.25,0,48.01
MR 10,1496,4,3,flat,premium,2084,0.34,0.17,0.69,0.52,1.56,0,80.68
Sudama Nagar,1050,3,3,flat,classic,1662,0.36,0.2,0.54,0.33,0.87,1,39.22
MR 11,2034,2,2,independent,classic,2048,1.56,0.9,1.78,1.15,2.08,0,105.46
Chandan Nagar,1297,2,2,independent,affordable,1595,1.09,0.49,1.69,0.71,0.21,0,60.76
Annapurna Road,2254,4,3,independent,classic,2098,1.49,1.4,1.02,1.18,2.36,0,165.9
AB Road,2604,4,4,independent,premium,3001,4.1,1.33,1.63,1.43,3.91,0,153.65
Scheme 103,2493,2,2,independent,classic,2452,2.09,1.18,2.48,0.96,3.06,1,133.77
Sanwer Road,1097,3,2,flat,affordable,1408,0.44,0.17,0.35,0.15,0.15,0,25.03
Scheme 94,2856,4,4,independent,premium,3006,4.13,2.5,1.57,0.97,4.29,1,162.09
Gandhi Nagar,1332,2,2,independent,affordable,2121,1.81,0.68,1.72,0.66,0.28,0,78.34
Jetpura,700,2,2,flat,affordable,1460,0.25,0.11,0.22,0.35,0.1,0,19.97
MR 10,2172,2,2,flat,premium,1890,0.91,0.54,0.5,0.33,2.05,0,84.9
Agrawal Nagar,1468,2,2,flat,classic,2026,0.4,0.31,0.78,0.39,1.49,1,48.43
Bicholi Mardana,2186,4,3,independent,premium,2513,3.7,0.98,1.86,1.13,2.75,0,174.92
Tejaji Nagar,1956,2,2,independent,affordable,1637,1.96,0.68,1.53,0.51,0.32,0,89.41
Geeta Bhawan,1579,2,2,independent,classic,2318,1.94,0.95,1.16,0.93,1.83,0,99.8
Agrawal Nagar,1056,2,2,flat,classic,2276,0.49,0.17,0.43,0.45,1.2,0,43.46
Sanwer Road,1190,3,3,flat,affordable,1626,0.34,0.12,0.26,0.28,0.19,1,31.73
AB Road,2753,3,3,independent,premium,2445,2.82,1.29,1.62,1.03,3.37,0,221.95
Scheme 94,1028,2,2,flat,premium,2119,0.23,0.28,0.42,0.27,1.09,0,46.77
Tejaji Nagar,922,2,3,flat,affordable,1435,0.35,0.07,0.2,0.18,0.13,0,28.08
Musakhedi,1227,2,2,flat,affordable,1785,0.54,0.18,0.38,0.18,0.22,1,30.35
Aerodrome Road,2993,3,2,independent,classic,2629,2.58,1.21,1.7,1.07,3.93,1,179.68
Janki Nagar,1050,3,2,flat,premium,2201,0.34,0.24,0.45,0.48,1.16,0,44.38
Vijay Nagar,1390,2,2,flat,premium,1829,0.5,0.21,0.94,0.25,1.27,0,77.48
Silicon City,1056,2,3,flat,affordable,1518,0.36,0.18,0.36,0.37,0.16,0,32.41
Banganga,1050,3,2,flat,affordable,1280,0.19,0.16,0.22,0.16,0.13,1,25.98
Sapna Sangeeta Road,3457,4,4,flat,elite,3007,3.09,1.3,0.71,0.6,5.2,0,232.84
Bengali Square,1937,4,3,flat,premium,2067,0.43,0.26,0.94,0.6,2.0,0,92.17
Annapurna Road,1675,3,3,flat,classic,2185,0.81,0.52,0.57,0.25,1.83,0,68.93
Janki Nagar,2010,4,3,flat,premium,2305,0.69,0.43,0.48,0.56,2.32,1,85.81
MG Road,2468,3,3,independent,premium,2860,3.53,1.14,2.81,1.2,3.53,0,218.2
Sudama Nagar,1306,3,2,flat,classic,1877,0.67,0.22,0.54,0.21,1.23,1,44.81
Bengali Square,2180,2,3,flat,premium,2195,0.65,0.48,0.87,0.52,2.39,0,126.02
Tilak Nagar,1401,2,2,independent,classic,2638,1.72,0.96,1.83,1.15,1.85,0,88.58
Tilak Nagar,2225,2,2,independent,classic,1956,1.51,0.72,1.08,0.79,2.18,0,130.06
Mahalaxmi Nagar,724,2,2,flat,premium,1914,0.15,0.16,0.34,0.54,0.69,0,30.16
Bhawarkuan,2426,3,2,independent,classic,2149,3.27,0.87,2.24,0.96,2.61,1,131.81
Bengali Square,1157,3,2,flat,premium,2223,0.56,0.21,0.32,0.26,1.29,1,45.7
Bicholi Mardana,1318,2,2,flat,premium,2222,0.84,0.29,0.64,0.29,1.46,0,65.58
South Tukoganj,4138,4,4,independent,elite,3499,10.11,4.15,2.4,1.06,7.24,1,408.6
Tilak Nagar,2144,4,3,independent,classic,2695,3.14,1.03,1.57,1.17,2.89,1,105.22
Gandhi Nagar,971,2,2,flat,affordable,1871,0.21,0.16,0.46,0.39,0.18,0,30.84
Talawali Chanda,1400,4,3,independent,classic,2682,1.44,0.72,1.74,0.87,1.88,0,70.77
Manglia,1850,2,2,independent,affordable,1619,2.02,0.64,1.7,0.55,0.3,1,62.58
Chandan Nagar,1055,1,1,flat,affordable,1218,0.27,0.17,0.23,0.25,0.13,0,34.43
Pipliyahana,1830,3,2,flat,classic,1648,0.89,0.37,0.71,0.2,1.51,0,68.61
Rau Pithampur Road,2266,3,2,independent,affordable,2317,1.91,1.42,1.16,0.49,0.53,0,97.62
Janki Nagar,1811,2,2,flat,premium,2581,0.81,0.33,0.94,0.31,2.34,0,81.07
Khandwa Road,2877,4,3,independent,classic,2818,3.23,1.51,2.22,0.66,4.05,1,133.13
Sapna Sangeeta Road,1077,3,2,flat,elite,2450,0.26,0.18,0.49,0.52,1.32,0,63.56
Rau,2638,3,2,independent,classic,2484,4.25,1.25,1.18,0.94,3.28,1,125.4
Khandwa Road,2449,2,3,independent,classic,2744,3.1,1.82,1.17,1.14,3.36,1,103.22
Mahalaxmi Nagar,2351,3,2,flat,premium,1913,1.28,0.27,0.97,0.46,2.25,1,113.02
Annapurna Road,1667,3,2,independent,classic,2145,2.0,0.83,1.12,0.92,1.79,0,92.22
Gandhi Nagar,1697,2,2,independent,affordable,1957,2.05,0.76,0.88,0.62,0.33,0,72.74
South Tukoganj,3804,3,2,independent,elite,2852,6.29,2.17,3.81,1.41,5.42,1,305.16
AB Bypass Road,2432,2,2,flat,premium,2116,0.99,0.7,0.67,0.32,2.57,0,118.04
Musakhedi,1310,2,2,flat,affordable,1329,0.19,0.22,0.59,0.34,0.17,0,31.86
MG Road,2945,5,5,independent,premium,3151,5.55,1.59,3.23,1.02,4.64,0,238.8
Silicon City,1483,2,2,independent,affordable,2277,1.31,0.83,0.81,0.67,0.34,0,72.13
Silicon City,700,2,2,flat,affordable,1567,0.19,0.14,0.56,0.2,0.11,0,20.42
Chandan Nagar,1969,2,2,independent,affordable,1702,1.18,0.94,0.76,0.46,0.34,1,79.09
Chandan Nagar,1473,1,1,independent,affordable,1660,1.17,0.68,0.79,0.86,0.24,0,70.42
Bicholi Hapsi,2512,3,2,independent,classic,2614,2.04,1.16,1.71,1.16,3.28,0,160.9
Navlakha,1261,2,2,flat,premium,2146,0.59,0.23,0.53,0.51,1.35,0,58.38
Pipliyahana,1698,3,2,flat,classic,2073,0.97,0.27,0.44,0.48,1.76,0,63.78
Nihalpur Mundi,1971,2,2,independent,classic,2401,1.7,1.24,1.89,0.65,2.37,0,101.0
Gandhi Nagar,946,2,2,independent,affordable,2360,0.89,0.61,1.38,0.6,0.22,0,55.93
Saket Nagar,2497,2,2,independent,affordable,2357,1.88,1.1,1.21,0.78,0.59,0,104.17
Musakhedi,1090,3,3,flat,affordable,1219,0.27,0.15,0.49,0.4,0.13,1,26.73
Janki Nagar,3869,4,3,independent,premium,2729,3.62,3.06,1.94,1.22,5.28,0,280.45
Aerodrome Road,1702,3,2,flat,classic,2123,0.61,0.26,0.66,0.25,1.81,1,49.19
