location,area,bhk,bath,property_type,zone,construction_cost_psqft,architect_fee_lakhs,engineer_fee_lakhs,approval_fee_lakhs,utility_cost_lakhs,gst_lakhs,is_resale,price
Marathahalli,2577,3,2,flat,premium,2319,1.13,0.72,0.88,0.76,2.99,1,147.28
KR Puram,1042,1,1,flat,mid,2147,0.45,0.25,0.57,0.53,1.12,0,67.76
Ramamurthy Nagar,2164,3,3,independent,affordable,2209,1.52,1.31,1.08,0.74,0.48,1,122.02
Bellandur,1786,2,2,flat,premium,2026,0.71,0.36,0.82,0.37,1.81,0,160.18
Varthur,1065,3,3,flat,mid,1804,0.35,0.21,0.57,0.38,0.96,0,60.12
Koramangala,4577,4,4,independent,ultra_premium,3872,7.4,5.18,4.79,1.38,8.86,0,1183.07
Hoskote,700,2,3,flat,affordable,1656,0.14,0.08,0.8,0.44,0.12,1,24.47
KR Puram,1389,3,2,independent,mid,2481,1.85,0.67,3.15,0.72,1.72,0,102.52
Chandapura,1260,2,2,flat,affordable,1758,0.35,0.25,0.55,0.27,0.22,1,30.64
Bellandur,1400,4,3,independent,premium,3884,3.08,1.01,4.22,1.07,2.72,1,182.72
Koramangala,1469,3,2,flat,ultra_premium,3910,1.69,0.45,0.97,0.69,2.87,0,237.57
HSR Layout,1750,5,4,independent,premium,3008,1.85,1.12,1.84,1.66,2.63,0,307.98
Hennur,1987,3,2,flat,premium,2973,1.0,0.85,0.62,0.32,2.95,1,153.65
Whitefield,1596,4,3,independent,premium,2921,3.21,0.81,3.78,0.9,2.33,0,226.67
Chandapura,1050,3,2,flat,affordable,1790,0.37,0.26,0.5,0.35,0.19,0,42.13
Basavanagudi,4101,3,2,independent,ultra_premium,3128,6.91,3.35,3.13,2.29,6.41,1,803.87
Hoskote,744,2,3,independent,affordable,1752,0.72,0.33,1.92,0.92,0.13,1,37.9
Jayanagar,2728,3,3,flat,ultra_premium,3205,1.75,0.61,0.98,0.87,4.37,0,329.49
Bagalur,778,2,2,flat,affordable,1866,0.26,0.17,0.55,0.3,0.15,0,33.06
Marathahalli,1913,3,2,independent,premium,3801,2.23,1.23,3.14,1.31,3.64,0,260.28
JP Nagar,1831,3,2,independent,premium,3887,2.43,1.65,2.65,1.14,3.56,0,206.4
TC Palaya,1417,2,2,independent,affordable,2035,1.63,0.67,1.36,0.86,0.29,1,71.31
Varthur,1378,2,2,flat,mid,1879,0.29,0.26,0.62,0.39,1.29,1,77.09
Electronic City,3198,2,2,independent,mid,2224,3.72,1.76,3.27,0.96,3.56,0,291.65
Basavanagudi,1594,3,2,flat,ultra_premium,3207,0.99,0.45,1.22,0.65,2.56,1,138.22
Koramangala,1166,3,2,flat,ultra_premium,2951,0.54,0.18,1.33,0.7,1.72,1,160.42
Jayanagar,1305,3,2,flat,ultra_premium,2654,0.43,0.51,1.41,0.91,1.73,1,181.96
Kengeri,3106,2,2,independent,mid,3106,2.94,1.98,1.79,1.05,4.82,0,313.72
Rajarajeshwari Nagar,2758,3,2,independent,mid,2543,4.68,1.35,2.72,0.69,3.51,0,244.2
Electronic City,1050,3,3,independent,mid,2072,1.18,0.59,2.92,0.76,1.09,0,92.22
Banashankari,2178,1,1,flat,mid,2135,0.56,0.23,0.44,0.59,2.33,1,115.52
Banashankari,1711,1,2,flat,mid,2188,0.47,0.33,1.14,0.47,1.87,0,138.03
Hennur,1050,3,3,flat,premium,2994,0.49,0.37,1.36,0.54,1.57,0,90.64
Mysore Road,3103,4,3,independent,mid,2240,4.1,1.59,2.74,0.73,3.48,0,283.69
Yelahanka,2102,1,1,independent,mid,3003,4.16,1.1,3.01,1.19,3.16,1,134.99
Jigani,1390,2,2,flat,affordable,1614,0.34,0.32,0.48,0.44,0.22,1,41.8
JP Nagar,2090,4,3,flat,premium,3055,1.38,0.6,1.27,0.67,3.19,0,207.25
Frazer Town,1400,4,3,flat,ultra_premium,3015,0.44,0.5,1.73,0.78,2.11,0,169.31
Ramamurthy Nagar,1725,2,3,flat,affordable,1879,0.95,0.22,0.72,0.37,0.32,1,82.72
MG Road,3330,3,2,flat,ultra_premium,3099,2.91,1.35,0.86,0.68,5.16,0,350.05
JP Nagar,2264,4,3,flat,premium,2367,0.59,0.63,1.29,0.78,2.68,1,198.56
Hebbal,1400,4,4,flat,premium,2540,0.77,0.28,0.58,0.37,1.78,0,137.76
Chandapura,1025,1,1,flat,affordable,1689,0.38,0.15,0.31,0.21,0.17,0,41.96
Koramangala,1050,3,2,flat,ultra_premium,3448,0.82,0.38,0.71,0.9,1.81,1,121.19
Ulsoor,3201,5,4,flat,ultra_premium,3211,1.04,0.53,1.1,0.49,5.14,0,463.22
Rajajinagar,1050,3,3,flat,ultra_premium,3396,0.82,0.5,1.29,0.78,1.78,1,166.02
Marathahalli,3416,4,3,independent,premium,3744,6.92,2.28,3.26,1.15,6.4,1,273.28
Jayanagar,1400,4,3,independent,ultra_premium,3859,3.24,1.55,4.22,1.44,2.7,1,263.33
Tumkur Road,1101,2,2,flat,mid,1827,0.24,0.27,0.42,0.57,1.01,1,56.28
Indiranagar,2094,2,2,flat,ultra_premium,2674,0.98,0.29,1.58,0.48,2.8,1,277.2
Vidyaranyapura,1710,2,3,flat,mid,2384,0.84,0.6,0.97,0.28,2.04,0,83.09
Indiranagar,3644,5,4,independent,ultra_premium,3822,8.86,3.97,3.56,1.51,6.96,0,1013.6
Indiranagar,1457,4,4,flat,ultra_premium,3396,1.27,0.49,0.65,0.5,2.47,0,273.27
Rajarajeshwari Nagar,1506,3,2,independent,mid,2676,1.68,0.79,2.18,0.85,2.02,0,116.76
Hoskote,1192,2,2,flat,affordable,1785,0.34,0.32,0.35,0.25,0.21,0,45.11
TC Palaya,1050,3,3,flat,affordable,1765,0.22,0.22,0.53,0.4,0.19,1,36.67
Thanisandra,1050,3,3,flat,premium,2209,0.62,0.18,1.21,0.58,1.16,0,79.42
Yelahanka,1426,4,3,independent,mid,2182,1.51,0.81,1.21,0.72,1.56,1,175.11
Chandapura,1376,2,3,flat,affordable,1480,0.32,0.31,0.46,0.33,0.2,0,57.34
Varthur,2650,3,2,independent,mid,2410,3.87,1.57,3.4,0.94,3.19,0,315.88
Malleshwaram,1195,3,2,independent,premium,3565,2.53,0.71,3.67,1.06,2.13,1,211.07
Indiranagar,1950,4,3,flat,ultra_premium,3385,1.23,0.98,0.78,0.68,3.3,0,308.34
Hoodi,1050,3,2,flat,mid,1750,0.25,0.13,1.04,0.35,0.92,0,84.42
Attibele,1601,2,2,flat,affordable,1488,0.64,0.31,0.59,0.39,0.24,1,48.69
KR Puram,1776,4,4,flat,mid,1993,0.44,0.32,1.07,0.47,1.77,0,84.72
Rajarajeshwari Nagar,700,2,2,flat,mid,1672,0.14,0.13,1.01,0.39,0.59,0,45.09
Ramamurthy Nagar,928,2,2,flat,affordable,1821,0.41,0.17,0.42,0.35,0.17,0,41.79
Attibele,1146,3,3,flat,affordable,1851,0.43,0.21,0.48,0.31,0.21,0,28.19
Bagalur,1119,2,3,flat,affordable,1967,0.47,0.16,0.45,0.49,0.22,0,41.2
Mysore Road,3002,2,2,independent,mid,2397,4.54,2.0,1.74,0.85,3.6,0,245.99
Nelamangala,506,1,2,flat,affordable,1506,0.1,0.05,0.73,0.46,0.08,0,17.93
Ulsoor,1412,4,3,flat,ultra_premium,3175,0.75,0.4,0.89,0.95,2.24,0,171.48
Mysore Road,1092,2,3,independent,mid,2989,1.34,0.85,2.75,0.98,1.63,1,105.25
Indiranagar,1400,4,3,flat,ultra_premium,3126,0.84,0.65,0.6,0.51,2.19,0,316.96
Hebbal,1920,3,3,flat,premium,2198,0.43,0.23,0.74,0.36,2.11,0,229.6
Vidyaranyapura,1399,1,1,independent,mid,2430,1.24,0.77,2.86,0.86,1.7,1,124.41
Frazer Town,3093,4,3,independent,ultra_premium,3313,7.07,2.83,4.0,2.48,5.12,1,509.03
Hoodi,1646,4,3,independent,mid,2568,2.56,1.27,3.01,1.3,2.11,0,159.83
Ramamurthy Nagar,1512,1,1,flat,affordable,1413,0.47,0.16,0.38,0.37,0.21,0,80.7
Attibele,508,1,2,flat,affordable,1844,0.16,0.14,0.51,0.47,0.09,0,17.6
HSR Layout,3337,5,4,independent,premium,3671,4.61,1.93,4.16,0.97,6.13,1,526.12
Attibele,700,2,3,flat,affordable,1590,0.29,0.12,0.35,0.3,0.11,0,19.2
Jigani,700,2,2,flat,affordable,1414,0.21,0.12,0.71,0.34,0.1,0,31.57
Bannerghatta Road,1151,2,2,flat,premium,3112,0.55,0.26,0.8,0.52,1.79,1,95.55
Yelahanka,2090,3,2,independent,mid,2719,2.78,1.14,2.06,0.9,2.84,0,188.12
Hennur,700,2,2,flat,premium,2362,0.19,0.24,1.05,0.69,0.83,0,51.42
MG Road,1570,3,2,flat,ultra_premium,3209,0.55,0.32,0.93,0.98,2.52,1,170.78
Whitefield,2421,4,4,independent,premium,3322,4.67,2.16,3.5,1.04,4.02,0,294.63
TC Palaya,1531,1,2,flat,affordable,1631,0.58,0.28,0.43,0.37,0.25,0,47.94
BTM Layout,993,2,2,flat,premium,2851,0.81,0.3,1.11,0.33,1.42,0,75.37
Attibele,700,2,3,independent,affordable,2158,0.76,0.42,1.36,0.46,0.15,1,27.02
Whitefield,3883,5,5,independent,premium,3979,6.54,2.62,2.34,1.43,7.72,1,461.14
Nelamangala,2357,1,1,independent,affordable,1789,2.6,1.06,0.93,0.82,0.42,0,100.69
Hoodi,1382,3,2,flat,mid,2318,0.39,0.34,0.62,0.47,1.6,1,80.68
Kengeri,1070,1,1,flat,mid,1827,0.25,0.14,1.18,0.44,0.98,1,58.81
Bannerghatta Road,1233,3,2,flat,premium,2947,0.47,0.48,1.36,0.66,1.82,0,98.03
Horamavu,1050,3,2,flat,mid,1900,0.27,0.2,0.76,0.52,1.0,1,58.23
Attibele,1666,3,2,flat,affordable,1506,0.5,0.3,0.76,0.38,0.25,0,45.58
BTM Layout,1835,4,3,independent,premium,2738,2.31,0.93,2.71,1.8,2.51,0,207.47
Kengeri,1083,2,3,flat,mid,2066,0.47,0.19,0.9,0.27,1.12,1,38.99
Attibele,702,2,2,independent,affordable,1730,0.75,0.24,1.88,0.81,0.12,1,29.87
Marathahalli,3263,4,4,independent,premium,3199,4.0,3.05,4.18,1.12,5.22,1,395.0
Rajajinagar,815,2,2,flat,ultra_premium,3776,0.52,0.16,0.66,0.49,1.54,1,85.11
Electronic City,1413,2,2,flat,mid,2394,0.45,0.23,0.86,0.37,1.69,0,73.93
Koramangala,1648,4,3,independent,ultra_premium,4131,3.99,1.63,4.98,2.45,3.4,1,346.38
Whitefield,1777,3,2,flat,premium,2132,0.93,0.25,1.35,0.66,1.89,0,145.95
Hennur,1301,2,2,flat,premium,2776,0.73,0.5,1.49,0.36,1.81,1,78.41
Hebbal,1092,2,2,flat,premium,3134,0.72,0.5,0.68,0.66,1.71,0,112.78
Jayanagar,2162,4,4,flat,ultra_premium,3981,1.63,0.89,1.65,1.0,4.3,0,259.44
Frazer Town,1611,3,2,flat,ultra_premium,2927,0.83,0.59,1.25,0.45,2.36,1,116.41
TC Palaya,1486,2,2,independent,affordable,2045,1.37,0.54,2.01,0.95,0.3,0,102.36
Mysore Road,1400,4,3,flat,mid,2384,0.83,0.4,0.97,0.5,1.67,0,91.79
Mysore Road,606,1,1,flat,mid,1638,0.23,0.15,0.92,0.33,0.5,0,34.81
Basavanagudi,4638,5,4,independent,ultra_premium,4788,9.64,5.38,5.28,2.45,11.1,0,1134.72
Mysore Road,1963,3,3,independent,mid,2471,2.33,1.43,1.51,1.2,2.42,1,142.43
Vidyaranyapura,1329,3,2,flat,mid,1946,0.5,0.2,0.62,0.27,1.29,0,96.88
Mysore Road,2015,2,3,independent,mid,2712,1.69,0.87,2.82,1.03,2.73,1,130.18
Bagalur,1674,2,2,independent,affordable,1915,2.24,0.66,1.38,0.46,0.32,0,108.39
Jigani,700,2,2,flat,affordable,1911,0.22,0.1,0.75,0.2,0.13,0,32.22
Yelahanka,2988,3,2,independent,mid,2807,2.6,1.82,2.47,0.87,4.19,0,259.68
Bagalur,788,1,1,flat,affordable,1499,0.32,0.1,0.54,0.36,0.12,1,25.39
Hennur,2460,5,4,independent,premium,3007,4.29,2.05,3.41,1.61,3.7,0,325.38
Vidyaranyapura,1159,2,2,independent,mid,3129,1.73,0.97,2.33,0.98,1.81,1,89.05
Thanisandra,3948,3,3,independent,premium,2967,5.9,3.27,2.93,1.57,5.86,0,439.53
Rajarajeshwari Nagar,700,2,2,flat,mid,1859,0.14,0.15,0.92,0.53,0.65,0,39.97
Nelamangala,1162,2,2,independent,affordable,1896,0.83,0.34,1.04,0.56,0.22,1,41.19
Banashankari,3104,3,2,independent,mid,3191,6.18,1.69,1.92,1.1,4.95,0,280.89
MG Road,2629,4,3,flat,ultra_premium,3788,1.58,1.4,1.5,0.88,4.98,1,325.67
Whitefield,1400,4,3,flat,premium,2299,0.53,0.27,0.53,0.47,1.61,0,171.43
Thanisandra,1400,4,3,flat,premium,2562,1.07,0.33,1.1,0.33,1.79,0,123.96
Basavanagudi,4315,3,2,independent,ultra_premium,3935,5.82,4.2,5.1,2.28,8.49,0,823.55
Hoskote,700,2,2,flat,affordable,1469,0.26,0.13,0.6,0.4,0.1,1,17.22
Bellandur,2444,1,1,flat,premium,2608,1.49,0.9,1.0,0.78,3.19,0,195.75
HSR Layout,3417,4,3,independent,premium,3603,6.09,3.35,4.38,1.73,6.16,0,442.25
Jayanagar,2682,4,3,flat,ultra_premium,3686,1.27,1.03,0.73,0.43,4.94,0,429.66
Vidyaranyapura,1761,2,2,independent,mid,2266,2.32,1.12,1.43,0.79,2.0,1,129.77
Bannerghatta Road,2320,2,2,flat,premium,2886,1.9,0.36,0.9,0.8,3.35,0,173.05
Banashankari,2732,2,2,independent,mid,2054,2.93,1.54,2.14,1.09,2.81,0,272.01
KR Puram,2774,2,3,independent,mid,3057,4.36,2.53,2.81,0.77,4.24,0,292.03
Attibele,780,1,1,independent,affordable,1946,0.56,0.43,2.02,0.92,0.15,0,41.9
Rajajinagar,4075,3,2,independent,ultra_premium,4670,12.77,3.9,3.45,2.17,9.52,0,1134.55
Jayanagar,2704,3,3,flat,ultra_premium,3447,1.73,0.98,0.81,0.58,4.66,0,296.33
MG Road,1793,4,3,flat,ultra_premium,3982,2.0,0.82,0.98,0.55,3.57,0,313.65
Bagalur,700,2,3,flat,affordable,1570,0.24,0.09,0.38,0.42,0.11,0,36.35
Malleshwaram,2580,5,4,independent,premium,3870,4.84,2.71,2.78,1.67,4.99,0,508.14
Sarjapur Road,3742,4,4,independent,premium,3903,9.93,2.44,4.38,1.23,7.3,0,434.49
Frazer Town,3527,4,4,independent,ultra_premium,3231,5.19,1.77,5.25,2.08,5.7,0,591.73
Basavanagudi,2859,4,3,independent,ultra_premium,3888,3.94,3.11,4.95,2.48,5.56,0,706.76
Mysore Road,1681,3,2,independent,mid,3089,3.49,0.82,2.57,1.05,2.6,0,138.14
Malleshwaram,753,2,2,flat,premium,2009,0.23,0.11,0.51,0.67,0.76,0,100.97
Bagalur,1924,3,2,independent,affordable,1747,1.99,0.83,1.38,0.54,0.34,0,165.31
Mysore Road,1962,2,2,independent,mid,3095,2.76,1.38,2.28,1.34,3.04,0,198.71
Jayanagar,3854,4,3,independent,ultra_premium,3567,6.32,3.74,2.54,2.04,6.87,0,717.47
Hebbal,1514,3,2,flat,premium,2718,1.11,0.36,1.24,0.61,2.06,0,123.08
Kengeri,1341,2,2,flat,mid,2183,0.83,0.15,1.03,0.47,1.46,1,54.79
Varthur,2014,2,2,flat,mid,2407,1.25,0.71,0.59,0.38,2.42,0,133.42
MG Road,1713,3,2,flat,ultra_premium,2952,1.11,0.4,0.96,0.85,2.53,1,233.09
Basavanagudi,1750,5,4,flat,ultra_premium,3348,0.61,0.31,1.13,0.89,2.93,0,212.35
Hoskote,1685,2,2,flat,affordable,1350,0.66,0.21,0.46,0.49,0.23,0,71.12
Electronic City,1050,3,2,flat,mid,2017,0.27,0.18,1.09,0.26,1.06,1,42.5
Hoodi,1050,3,2,flat,mid,1777,0.45,0.2,0.6,0.35,0.93,0,61.03
TC Palaya,1424,2,2,independent,affordable,2342,1.85,0.53,0.9,0.75,0.33,1,89.13
Whitefield,2017,4,3,independent,premium,3296,2.13,1.16,3.99,1.02,3.32,1,227.2
Chandapura,1788,1,1,flat,affordable,1350,0.32,0.24,0.52,0.43,0.24,0,69.45
Tumkur Road,2646,3,2,independent,mid,3045,4.7,1.84,3.45,1.16,4.03,0,235.97
Thanisandra,1543,3,2,flat,premium,3039,1.3,0.36,0.53,0.43,2.34,1,145.6
Varthur,1720,3,2,flat,mid,1994,0.67,0.27,0.7,0.46,1.72,0,107.12
Thanisandra,2516,3,3,flat,premium,2962,1.71,0.72,1.08,0.49,3.73,1,200.5
Bannerghatta Road,2494,4,3,flat,premium,2612,1.94,0.52,0.53,0.38,3.26,0,253.63
Yelahanka,1483,3,3,flat,mid,1718,0.41,0.13,0.92,0.53,1.27,0,113.42
KR Puram,1655,4,3,flat,mid,1602,0.45,0.35,0.71,0.45,1.33,1,95.99
Jigani,1593,2,2,flat,affordable,1659,0.75,0.16,0.64,0.4,0.26,0,63.38
Vidyaranyapura,1050,3,3,flat,mid,2363,0.52,0.27,0.42,0.55,1.24,0,71.12
Bannerghatta Road,2079,3,2,flat,premium,2043,0.63,0.29,1.0,0.51,2.12,0,201.75
JP Nagar,2770,2,2,independent,premium,2577,4.09,1.34,3.15,1.57,3.57,0,299.38
BTM Layout,2734,1,1,flat,premium,2822,1.08,1.02,1.41,0.71,3.86,1,216.28
Hoskote,1778,1,1,flat,affordable,1700,0.38,0.21,0.75,0.5,0.3,0,52.96
Hoskote,1050,3,3,flat,affordable,1549,0.21,0.11,0.69,0.28,0.16,0,33.35
Hennur,1750,5,4,independent,premium,3116,1.89,0.95,3.0,1.21,2.73,0,187.56
Koramangala,1637,3,2,independent,ultra_premium,4442,4.52,2.17,4.31,2.25,3.64,0,438.0
KR Puram,2574,3,3,independent,mid,2474,4.21,1.88,3.29,0.96,3.18,0,269.16
Hoskote,1493,2,2,flat,affordable,1833,0.41,0.32,0.45,0.23,0.27,0,68.31
Varthur,1300,3,2,flat,mid,1881,0.37,0.14,1.01,0.56,1.22,0,93.13
Vidyaranyapura,2105,2,3,flat,mid,2234,1.08,0.4,0.55,0.31,2.35,0,113.8
Koramangala,1884,5,4,flat,ultra_premium,3039,0.91,0.75,1.57,0.92,2.86,0,354.37
Hoodi,1050,3,2,flat,mid,1851,0.41,0.17,0.58,0.54,0.97,0,75.61
Malleshwaram,1674,4,3,flat,premium,2578,0.74,0.43,0.69,0.47,2.16,0,192.89
Kengeri,1400,4,4,flat,mid,2147,0.77,0.29,0.83,0.4,1.5,0,98.19
Kengeri,2053,2,3,flat,mid,2454,1.48,0.72,0.73,0.53,2.52,0,101.95
JP Nagar,1194,3,2,independent,premium,3133,2.43,0.75,2.16,1.63,1.87,0,170.28
Mysore Road,1400,4,4,flat,mid,1940,0.79,0.25,1.05,0.35,1.36,1,85.37
Hennur,1508,3,3,flat,premium,3060,1.24,0.39,1.12,0.54,2.31,0,100.57
Bannerghatta Road,1050,3,2,flat,premium,2966,0.72,0.29,1.15,0.33,1.56,1,75.46
Bagalur,1059,2,3,independent,affordable,1638,1.11,0.47,2.06,0.74,0.17,0,91.79
Jigani,1188,2,2,flat,affordable,1392,0.21,0.14,0.5,0.35,0.17,0,46.34
Nelamangala,1184,2,2,flat,affordable,1383,0.26,0.19,0.34,0.4,0.16,0,45.87
Bellandur,1911,3,3,independent,premium,3062,3.92,1.61,2.09,1.0,2.93,0,245.54
Hennur,1423,3,2,flat,premium,2881,1.04,0.53,0.73,0.4,2.05,0,112.29
Ramamurthy Nagar,1011,1,1,flat,affordable,1946,0.48,0.16,0.62,0.41,0.2,0,54.79
Yelahanka,2609,2,2,independent,mid,2052,2.86,1.12,2.04,0.81,2.68,1,187.84
HSR Layout,3460,4,3,independent,premium,2611,6.24,2.5,2.28,1.71,4.52,1,491.81
Hebbal,1743,3,3,flat,premium,2459,0.88,0.51,0.79,0.43,2.14,0,145.37
Indiranagar,4347,4,3,independent,ultra_premium,3265,9.15,4.09,3.96,1.99,7.1,0,1302.23
Horamavu,1050,3,2,flat,mid,2073,0.64,0.17,0.52,0.35,1.09,0,63.34
HSR Layout,2877,3,2,independent,premium,3815,4.18,1.78,3.93,1.65,5.49,1,413.96
Bagalur,1489,3,2,independent,affordable,2399,1.9,0.78,0.82,0.84,0.36,1,89.75
Vidyaranyapura,2240,2,2,independent,mid,2638,4.06,1.32,3.09,1.22,2.95,0,213.76
BTM Layout,3138,4,3,independent,premium,3031,6.65,2.05,1.87,1.23,4.76,1,346.9
Nelamangala,1243,2,2,independent,affordable,2127,0.8,0.57,1.78,0.51,0.26,0,80.8
Nelamangala,1319,3,2,independent,affordable,2043,1.37,0.55,1.85,0.95,0.27,1,58.88
Bagalur,1370,1,1,independent,affordable,2357,1.85,0.7,1.96,0.84,0.32,0,81.61
Devanahalli,1550,2,2,flat,affordable,1921,0.33,0.44,0.3,0.48,0.3,0,63.84
Yelahanka,1634,2,2,flat,mid,1607,0.39,0.3,0.46,0.29,1.31,0,103.77
Whitefield,1642,2,2,flat,premium,2863,1.27,0.36,0.52,0.41,2.35,1,97.15
BTM Layout,874,2,2,flat,premium,2733,0.67,0.31,1.06,0.34,1.19,0,71.93
BTM Layout,3934,4,3,independent,premium,2660,5.78,2.46,4.2,1.58,5.23,0,639.5
Banashankari,784,2,2,flat,mid,1808,0.32,0.17,0.77,0.27,0.71,0,55.12
Yelahanka,1660,2,3,independent,mid,2137,1.94,0.65,2.77,1.27,1.77,1,126.46
Attibele,941,2,3,flat,affordable,1652,0.24,0.19,0.75,0.41,0.16,0,35.32
Bellandur,1050,3,2,flat,premium,2468,0.64,0.23,0.83,0.6,1.3,0,75.46
Hoskote,1523,2,2,independent,affordable,2154,1.66,0.64,1.96,0.91,0.33,0,109.43
Vidyaranyapura,1369,2,2,flat,mid,1691,0.33,0.29,0.7,0.31,1.16,0,102.4
Bellandur,1593,3,3,flat,premium,2575,0.96,0.34,0.58,0.59,2.05,0,129.19
Banashankari,1527,2,2,independent,mid,2171,2.07,0.8,3.42,1.38,1.66,0,180.31
Mysore Road,1217,3,2,flat,mid,1813,0.25,0.25,1.04,0.37,1.1,0,60.86
Ulsoor,4228,4,4,independent,ultra_premium,4861,13.05,6.15,2.57,1.35,10.28,0,871.03
Mysore Road,896,2,2,flat,mid,1796,0.18,0.2,0.71,0.54,0.8,0,61.16
Ulsoor,3560,4,3,independent,ultra_premium,3645,6.18,3.57,5.29,2.02,6.49,0,564.66
Devanahalli,1724,2,3,independent,affordable,2428,2.0,1.22,1.45,0.56,0.42,1,120.19
Vidyaranyapura,1474,3,2,flat,mid,2182,0.45,0.38,0.4,0.44,1.61,0,84.83
Bagalur,1403,3,2,independent,affordable,1636,1.29,0.56,1.34,0.71,0.23,0,122.19
HSR Layout,2450,4,3,independent,premium,3208,3.56,1.48,3.43,1.69,3.93,1,404.4
Bellandur,1467,3,3,flat,premium,2755,1.05,0.26,1.02,0.69,2.02,1,85.13
Tumkur Road,2100,3,2,flat,mid,1746,0.68,0.47,1.02,0.33,1.83,1,96.25
Attibele,700,2,2,independent,affordable,2141,0.54,0.26,1.62,0.63,0.15,0,46.31
Marathahalli,2655,3,3,flat,premium,3038,1.74,0.49,0.72,0.44,4.03,1,228.87
Basavanagudi,1050,3,3,flat,ultra_premium,3366,0.76,0.29,0.98,0.46,1.77,0,124.24
Vidyaranyapura,1245,3,2,independent,mid,2010,1.58,0.57,3.37,0.98,1.25,0,127.57
Chandapura,903,2,2,flat,affordable,1544,0.22,0.13,0.66,0.49,0.14,0,41.69
Rajajinagar,1805,5,5,flat,ultra_premium,3819,1.8,0.81,1.35,0.59,3.45,0,251.97
Bellandur,2243,5,4,independent,premium,3344,5.1,1.21,2.6,1.07,3.75,0,383.39
Thanisandra,3899,5,4,independent,premium,3442,8.54,2.31,4.11,1.51,6.71,1,503.79
Frazer Town,2536,2,2,flat,ultra_premium,3812,1.22,1.18,0.72,0.77,4.83,0,255.42
JP Nagar,1747,3,2,independent,premium,2925,3.18,0.93,2.59,1.07,2.55,1,257.14
Sarjapur Road,2363,3,2,flat,premium,2748,1.29,0.46,0.88,0.57,3.25,0,202.28
Hoodi,1050,3,2,flat,mid,1807,0.29,0.14,0.93,0.29,0.95,0,66.39
Hoodi,1796,2,3,flat,mid,2251,0.87,0.4,0.96,0.39,2.02,1,103.01
Frazer Town,2502,4,3,flat,ultra_premium,3438,2.49,0.93,1.25,0.43,4.3,1,211.0
Marathahalli,1257,2,2,independent,premium,2774,1.15,0.64,3.24,1.53,1.74,0,133.74
Sarjapur Road,1853,4,4,flat,premium,2873,0.61,0.38,1.25,0.52,2.66,0,138.0
Ulsoor,2010,3,2,flat,ultra_premium,3110,1.2,0.5,0.64,0.75,3.13,0,208.23
Jayanagar,1946,3,2,independent,ultra_premium,4191,3.8,1.74,4.86,1.45,4.08,0,442.77
Hoodi,1972,2,3,flat,mid,2276,1.09,0.32,1.08,0.35,2.24,0,119.21
Vidyaranyapura,1050,3,3,independent,mid,3131,1.71,0.74,1.97,1.17,1.64,0,123.64
Varthur,2487,2,2,independent,mid,3107,4.26,1.33,2.2,1.12,3.86,0,264.82
Hoskote,1126,2,3,flat,affordable,1411,0.27,0.15,0.56,0.5,0.16,0,32.19
Chandapura,1533,2,2,flat,affordable,1375,0.34,0.22,0.59,0.36,0.21,0,60.78
Malleshwaram,3083,4,3,independent,premium,3361,4.88,1.96,3.85,1.38,5.18,1,425.01
Nelamangala,1938,2,3,independent,affordable,1868,2.14,1.0,2.06,0.55,0.36,0,114.62
Thanisandra,3867,3,2,independent,premium,2851,5.12,2.84,2.1,1.14,5.51,1,421.86
Varthur,1706,2,2,flat,mid,2006,0.73,0.37,0.59,0.51,1.71,0,131.76
Rajajinagar,2660,4,3,flat,ultra_premium,3307,1.35,0.76,1.67,0.8,4.4,0,450.54
Bannerghatta Road,2797,4,3,flat,premium,2939,1.79,0.72,0.83,0.73,4.11,0,208.56
Varthur,1986,3,2,flat,mid,2347,1.4,0.62,0.85,0.32,2.33,0,147.98
Frazer Town,1050,3,2,flat,ultra_premium,3828,0.41,0.56,1.29,0.6,2.01,0,100.2
Horamavu,1321,2,2,flat,mid,2359,0.74,0.42,0.63,0.41,1.56,0,71.65
Jayanagar,4935,4,3,independent,ultra_premium,3048,8.03,4.38,3.02,1.81,7.52,1,1018.51
Sarjapur Road,3896,3,2,independent,premium,3432,4.97,3.52,1.93,1.76,6.69,1,381.15
TC Palaya,700,2,2,flat,affordable,1668,0.15,0.06,0.79,0.29,0.12,1,24.11
Frazer Town,2091,3,2,flat,ultra_premium,2501,1.14,0.64,1.34,0.45,2.61,1,223.1
Nelamangala,1711,2,2,flat,affordable,1468,0.71,0.2,0.33,0.2,0.25,1,58.22
Attibele,1054,2,2,flat,affordable,1439,0.21,0.1,0.61,0.41,0.15,0,31.1
Attibele,1050,3,2,flat,affordable,1433,0.23,0.13,0.69,0.5,0.15,1,27.57
Mysore Road,1475,2,2,independent,mid,2457,2.1,0.7,1.54,0.7,1.81,0,146.93
Thanisandra,1094,1,1,flat,premium,2262,0.55,0.26,0.88,0.73,1.24,0,93.6
Hennur,1400,4,3,flat,premium,2863,1.16,0.31,0.59,0.54,2.0,0,91.08
Mysore Road,1050,3,3,independent,mid,3097,1.4,0.86,2.25,1.19,1.63,1,65.48
Attibele,2463,2,2,independent,affordable,2353,3.4,1.43,1.12,0.92,0.58,0,145.83
Banashankari,1265,2,2,flat,mid,2481,0.38,0.19,1.0,0.36,1.57,0,83.01
